language_id,language_name
af_ZA,"Afrikaans"
sq_AL,"Shqip"
ar_AR,"العربية"
hy_AM,"Հայերեն"
ay_BO,"Aymar aru"
az_AZ,"Azərbaycan dili"
eu_ES,"Euskara"
bn_IN,"Bangla"
bs_BA,"Bosanski"
bg_BG,"Български"
my_MM,"မြန်မာဘာသာ"
ca_ES,"Català"
ck_US,"Cherokee"
hr_HR,"Hrvatski"
cs_CZ,"Čeština"
da_DK,"Dansk"
nl_NL,"Nederlands"
nl_BE,"Nederlands (België)"
en_IN,"English (India)"
en_GB,"English (UK)"
en_US,"English (US)"
et_EE,"Eesti"
fo_FO,"Føroyskt"
tl_PH,"Filipino"
fi_FI,"Suomi"
fr_CA,"Français (Canada)"
fr_FR,"Français (France)"
fy_NL,"Frysk"
gl_ES,"Galego"
ka_GE,"ქართული"
de_DE,"Deutsch"
el_GR,"Ελληνικά"
gn_PY,"Avañe'ẽ"
gu_IN,"ગુજરાતી"
ht_HT,"Ayisyen"
he_IL,"‏עברית‏"
hi_IN,"हिन्दी"
hu_HU,"Magyar"
is_IS,"Íslenska"
id_ID,"Bahasa Indonesia"
ga_IE,"Gaeilge"
it_IT,"Italiano"
ja_JP,"日本語"
jv_ID,"Basa Jawa"
kn_IN,"Kannaḍa"
kk_KZ,"Қазақша"
km_KH,"Khmer"
ko_KR,"한국어"
ku_TR,"Kurdî"
lv_LV,"Latviešu"
li_NL,"Lèmbörgs"
lt_LT,"Lietuvių"
mk_MK,"Македонски"
mg_MG,"Malagasy"
ms_MY,"Bahasa Melayu"
ml_IN,"Malayāḷam"
mt_MT,"Malti"
mr_IN,"मराठी"
mn_MN,"Монгол"
ne_NP,"नेपाली"
se_NO,"Davvisámegiella"
nb_NO,"Norsk (bokmål)"
nn_NO,"Norsk (nynorsk)"
ps_AF,"پښتو"
fa_IR,"فارسی"
pl_PL,"Polski"
pt_BR,"Português (Brasil)"
pt_PT,"Português (Portugal)"
pa_IN,"ਪੰਜਾਬੀ"
qu_PE,"Qhichwa"
ro_RO,"Română"
rm_CH,"Rumantsch"
ru_RU,"Русский"
sa_IN,"संस्कृतम्"
sr_RS,"Српски"
zh_CN,"中文(简体)"
sk_SK,"Slovenčina"
sl_SI,"Slovenščina"
so_SO,"Soomaaliga"
es_LA,"Español"
es_CL,"Español (Chile)"
es_CO,"Español (Colombia)"
es_MX,"Español (México)"
es_ES,"Español (España)"
es_VE,"Español (Venezuela)"
sw_KE,"Kiswahili"
sv_SE,"Svenska"
sy_SY,"Leššānā Suryāyā"
tg_TJ,"тоҷикӣ, تاجیکی‎, tojikī"
ta_IN,"தமிழ்"
tt_RU,"татарча / Tatarça / تاتارچا"
te_IN,"Telugu"
th_TH,"ภาษาไทย"
zh_HK,"中文(香港)"
zh_TW,"中文 (繁體)"
tr_TR,"Türkçe"
uk_UA,"Українська"
ur_PK,"اردو"
uz_UZ,"O'zbek"
vi_VN,"Tiếng Việt"
cy_GB,"Cymraeg"
xh_ZA,"isiXhosa"
yi_DE,"ייִדיש"
zu_ZA,"isiZulu"